S/N,RegNo,CAT(40%),EXAM(60%),,,,,,,,,,,,
76,U19CS1076,ABS,ABS,,,,,,,,,,,,
77,U19CS1077,20,36,,,,,,,,,,,,
78,U19CS1078,10,17,,,,,,,,,,,,
79,U19CS1079,20,20,,,,,,,,,,,,
80,U19CS1080,20,20,,,,,,,,,,,,
81,U19CS1081,18,27,,,,,,,,,,,,
82,U19CS1082,21,29,,,,,,,,,,,,
83,U19CS1083,21,29,,,,,,,,,,,,
84,U19CS1084,14,27,,,,,,,,,,,,
85,U19CS1085,15,27,,,,,,,,,,,,
86,U19CS1086,23,43,,,,,,,,,,,,
87,U19CS1087,6,13,,,,,,,,,,,,
88,U19CS1088,7,18,,,,,,,,,,,,
89,U19CS1089,6,18,,,,,,,,,,,,
90,U19CS1090,22,20,,,,,,,,,,,,
91,U19CS1091,24,36,,,,,,,,,,,,
92,U19CS1092,23,24,,,,,,,,,,,,
93,U19CS1093,18,24,,,,,,,,,,,,
94,U19CS1094,9,18,,,,,,,,,,,,
95,U19CS1095,27,35,,,,,,,,,,,,
96,U19CS1096,16,35,,,,,,,,,,,,
97,U19CS1097,18,22,,,,,,,,,,,,
98,U19CS1098,18,30,,,,,,,,,,,,
99,U19CS1099,10,11,,,,,,,,,,,,
100,U19CS1100,23,41,,,,,,,,,,,,
101,U19CS1101,24,36,,,,,,,,,,,,
102,U19CS1102,21,20,,,,,,,,,,,,
103,U19CS1103,22,41,,,,,,,,,,,,
104,U19CS1104,21,32,,,,,,,,,,,,
105,U19CS1105,22,42,,,,,,,,,,,,
106,U19CS1106,21,35,,,,,,,,,,,,
107,U19CS1107,21,24,,,,,,,,,,,,
108,U19CS1108,20,41,,,,,,,,,,,,
109,U19CS1109,23,27,,,,,,,,,,,,
110,U19CS1110,22,42,,,,,,,,,,,,
111,U19CS1111,20,25,,,,,,,,,,,,
112,U19CS1112,20,21,,,,,,,,,,,,
113,U19CS1113,16,29,,,,,,,,,,,,
114,U19CS1114,18,18,,,,,,,,,,,,
115,U19CS1115,18,24,,,,,,,,,,,,
116,U19CS1116,20,20,,,,,,,,,,,,
117,U19CS1117,22,28,,,,,,,,,,,,
118,U19CS1118,19,25,,,,,,,,,,,,
119,U19CS1119,17,34,,,,,,,,,,,,
120,U19CS1120,24,24,,,,,,,,,,,,
121,U19CS1121,23,31,,,,,,,,,,,,
122,U19CS1122,26,31,,,,,,,,,,,,
123,U19CS1123,27,49,,,,,,,,,,,,
124,U19CS1124,21,28,,,,,,,,,,,,
125,U19CS1125,21,31,,,,,,,,,,,,
126,U19CS1126,23,32,,,,,,,,,,,,
127,U19CS1127,17,34,,,,,,,,,,,,
128,U19CS1128,19,27,,,,,,,,,,,,
129,U19CS1129,19,22,,,,,,,,,,,,
130,U19CS1130,19,28,,,,,,,,,,,,
131,U19CS1131,23,43,,,,,,,,,,,,
132,U19CS1132,22,45,,,,,,,,,,,,
133,U19CS1133,19,38,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
